Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
Subscription,Microsoft.Subscription,subscription,,,,,Done,specification/subscription/resource-manager/Microsoft.Subscription/Subscription/tspconfig.yaml,2025-11-01-preview,sdk/resourcemanager/subscription/armsubscription,10/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26366,b895cbedbc8033e2b432042981f01f5237ce3360,,,
Microsoft Foundry RP,microsoft.cognitiveservices,cognitiveservices,,Done,,,AlreadyTypeSpec,specification/cognitiveservices/CognitiveServices.Management/tspconfig.yaml,,sdk/resourcemanager/cognitiveservices/armcognitiveservices,,,,,,"From Dry Run Release sheet (row 63). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
ServiceFabricManagedClusters,microsoft.servicefabric,servicefabricmanagedclusters,,Done,,,AlreadyTypeSpec,specification/servicefabricmanagedclusters/resource-manager/Microsoft.ServiceFabric/ServiceFabricManagedClusters/tspconfig.yaml,,sdk/resourcemanager/servicefabricmanagedclusters/armservicefabricmanagedclusters,,,,,,"From Dry Run Release sheet (row 95). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
Azure Container Apps,microsoft.app,app,,NotStarted,,,,specification/app/resource-manager/Microsoft.App/ContainerApps/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 96). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Application Insights,microsoft.insights,applicationinsights,,NotStarted,,,,specification/applicationinsights/resource-manager/Microsoft.Insights/ApplicationInsights/tspconfig.yaml,,sdk/resourcemanager/applicationinsights/armapplicationinsights,,,,,,"From Dry Run Release sheet (row 97). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Privileged Identity Management,microsoft.authorization,authorization,,NotStarted,,,AlreadyTypeSpec,specification/authorization/resource-manager/Microsoft.Authorization/Authorization/tspconfig.yaml,,sdk/resourcemanager/authorization/armauthorization,,,,,,"From Dry Run Release sheet (row 98). DryRun: .Net=NotStarted, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
Azure Automation,microsoft.automation,automation,,NotStarted,,,,specification/automation/Automation.Management/tspconfig.yaml,,sdk/resourcemanager/automation/armautomation,,,,,,"From Dry Run Release sheet (row 99). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Data Explorer (Kusto),microsoft.kusto,azure-kusto,,NotStarted,,,,specification/azure-kusto/resource-manager/Microsoft.Kusto/Kusto/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 100). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Container Instances,microsoft.containerinstance,containerinstance,,Done,,,,specification/containerinstance/resource-manager/Microsoft.ContainerInstance/ContainerInstance/tspconfig.yaml,,sdk/resourcemanager/containerinstance/armcontainerinstance,,,,,,"From Dry Run Release sheet (row 102). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Database Migration Service,microsoft.datamigration,datamigration,,NotStarted,,,,specification/datamigration/resource-manager/Microsoft.DataMigration/DataMigration/tspconfig.yaml,,sdk/resourcemanager/datamigration/armdatamigration,,,,,,"From Dry Run Release sheet (row 103). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
