Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,PreviousSdkPr,Comment
App Service (Web Apps),microsoft.web,web/certificationregistration,,AlreadyTypeSpec,,,,NoSpec,,,,,,
App Service (Web Apps),microsoft.web,web/domainregistration,,AlreadyTypeSpec,,,,NoSpec,,,,,,
Azure Alerts Management,Microsoft.AlertsManagement,alertsmanagement,,Done,,,Done,specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/AlertsManagement/tspconfig.yaml,,,,,,
Azure Stack HCI,Microsoft.AzureStackHCI,azurestackhci,,AlreadyTypeSpec,,,Done,,,,,,,
Usage (Usage V3),Microsoft.Commerce,commerce,,Done,,,Done,specification/commerce/resource-manager/Microsoft.Commerce/Commerce/tspconfig.yaml,,,,,,
Azure Kubernetes Service,microsoft.containerservice,containerservice,,Premium,,,Done,specification/containerservice/resource-manager/Microsoft.ContainerService/aks/tspconfig.yaml,,,,,,
Cluster Configuration,Microsoft.KubernetesConfiguration,kubernetesconfiguration,,,,,Done,specification/kubernetesconfiguration/resource-manager/Microsoft.KubernetesConfiguration/extensions/tspconfig.yaml,,,,,,
Azure Maps,Microsoft.Maps,maps,,,,,Done,specification/maps/resource-manager/Microsoft.Maps/Maps/tspconfig.yaml,,,,,,
CPX-Marketplace-PrivateMarketplace,Microsoft.Marketplace,marketplace,,,,,Done,specification/marketplace/resource-manager/Microsoft.Marketplace/Marketplace/tspconfig.yaml,,,,,,
Network Cloud,Microsoft.NetworkCloud,networkcloud,,NO_SPEC,,,,specification/networkcloud/NetworkCloud.Management/tspconfig.yaml,2025-09-01,sdk/resourcemanager/networkcloud/armnetworkcloud,2025-09-01,,,
Purview,Microsoft.Purview,purview,,,,,Done,specification/purview/resource-manager/Microsoft.Purview/Purview/tspconfig.yaml,,,,,,
Azure Site Recovery,Microsoft.RecoveryServices,recoveryservicessiterecovery,,,,,Done,specification/recoveryservicessiterecovery/resource-manager/Microsoft.RecoveryServices/SiteRecovery/tspconfig.yaml,,,,,,
Azure Search,Microsoft.Search,search,,Premium,,,Done,,,,,,,
Azure Frontdoor,Microsoft.Network,frontdoor,,,,,Done,specification/frontdoor/FrontDoor.Management/tspconfig.yaml,,,,,,
NFV Resource Provider,Microsoft.NetworkFunction,networkfunction,,Done,,,Done,specification/networkfunction/NetworkFunction.Management/tspconfig.yaml,,,,,,
Sevice Fabric,Microsoft.ServiceFabric,servicefabric,,,,,VersionNotEqual,specification/servicefabric/resource-manager/Microsoft.ServiceFabric/ServiceFabric/tspconfig.yaml,2023-11-01-preview,sdk/resourcemanager/servicefabric/armservicefabric,2021-06-01,,,
IC3 ACS Resource Provider,Microsoft.Communication,communication,,,,,Done,,,,,,,
Azure Cosmos DB,Microsoft.DocumentDB,cosmos-db,,,,,ManualReview,,,,,,,
Azure Data Factory,Microsoft.DataFactory,datafactory,,,,,ManualReview,,,,,,,
Azure Event Grid,Microsoft.EventGrid,eventgrid,,,,,Done,,,,,,,
